,Zip,County,State,Year,Total Pop,Male Pop,Pct Male,Female Pop,Pct Female,Total Employable Pop,Full Time Employed Pop,Pct Full Time Employed,Total Households,Household Median Income,Insurable Pop,Insured Pop,Pct Insured,Uninsured Pop,ADI State Rank,ADI Natl Rank,CA DOI Underserved Flag,Tapestry Seg Nr,Tapestry Seg Code,Tapestry Seg Name,Lifemode Code,Lifemode Group,AS Only,ED Only,Inpatient,Inpatient from ED,Opioid Rx Count,Pop w Opioid Rx,Tot Opioid Rx Fills,ALZ,CAN,CLD,DIA,HTD,HYP,INJ,LIV,NEP,OTH,PNF,STK,SUI,Total Deaths,"Total Deaths per 1,000","Alzheimers Deaths per 1,000","Cancer Deaths per 1,000","CLRD Deaths per 1,000","Diabetes Deaths per 1,000","Heart Disease Deaths per 1,000","Hypertension Deaths per 1,000","Accidental Deaths per 1,000","Chronic Liver Disease Deaths per 1,000","Nephrotic Diseases Deaths per 1,000","Other Deaths per 1,000","Pneumonia and Influenza Deaths per 1,000","Stroke Deaths per 1,000","Suicide Deaths per 1,000",C2,C3,C4,C2-C4,"AS per 1,000","ED per 1,000","IP per 1,000","IP via ED per 1,000","C2 per 1,000","C3 per 1,000","C4 per 1,000","C2-C4 per 1,000","Opioid Rx per 1,000","Pop w Opioid Rx per 1,000"
296,91932,San Diego,CA,2016,26801,13242,49.4,13559,50.6,17889,7561,59.6,9044,48010,26073,21875,83.9,4198,6.183560262228947,30.976298537569342,N,60.0,13A,International Marketplace,13.0,Next Wave,1334.0,8564.0,1360.0,1287.0,8311,3202,8067,9,34,6,8,42,5,14,4,0,30,1,9,3,165,6.1564866982575275,0.3358083653595015,1.2686093802470058,0.223872243573001,0.29849632476400134,1.567105705011007,0.18656020297750084,0.5223685683370024,0.14924816238200067,0.0,1.119361217865005,0.03731204059550017,0.3358083653595015,0.1119361217865005,874,118,1012,2004,49.77426215439722,319.54031565986344,50.744375209880225,48.020596246408715,32.61072348046714,4.402820790269019,37.759785082646175,74.77332935338234,310.1003693892019,119.47315398679153
297,91934,San Diego,CA,2016,274,202,73.7,72,26.3,85,27,100.0,187,25354,274,274,100.0,0,8.0,47.0,N,23.0,6C,The Great Outdoors,6.0,Cozy Country Living,50.0,255.0,48.0,89.0,432,145,428,1,5,0,0,2,0,0,0,0,2,0,0,0,10,36.4963503649635,3.6496350364963503,18.24817518248175,0.0,0.0,7.299270072992701,0.0,0.0,0.0,0.0,7.299270072992701,0.0,0.0,0.0,0,0,0,0,182.4817518248175,930.6569343065694,175.18248175182484,324.8175182481752,0.0,0.0,0.0,0.0,1576.6423357664235,529.1970802919708
298,91935,San Diego,CA,2016,8347,4049,48.5,4298,51.5,5521,2438,59.9,2718,100976,8332,7797,93.6,535,3.845408756296009,11.562572646261136,N,7.0,2B,Pleasantville,1.0,Affluent Estates,658.0,1884.0,428.0,420.0,3714,1372,3577,7,25,8,2,13,1,2,0,0,8,1,5,4,76,9.105067688990056,0.8386246555648736,2.9950880555888344,0.958428177788427,0.23960704444710676,1.557445788906194,0.11980352222355338,0.23960704444710676,0.0,0.0,0.958428177788427,0.11980352222355338,0.5990176111177669,0.4792140888942135,17,3,324,344,78.83071762309812,225.70983586917455,51.27590751168085,50.31747933389242,2.0366598778004072,0.3594105666706601,38.816341200431296,41.21241164490236,444.9502815382772,164.37043249071522
299,91941,San Diego,CA,2016,33077,16004,48.4,17073,51.6,21138,10494,63.1,12004,71197,32629,29257,89.7,3372,4.112533954210322,14.674039580908033,N,5.0,1E,Exurbanites,8.0,Middle Ground,2233.0,7797.0,1753.0,1568.0,12450,4774,12118,20,74,12,2,56,5,14,6,1,66,9,23,5,293,8.858118934607129,0.604649756628473,2.23720409952535,0.3627898539770838,0.060464975662847295,1.6930193185597242,0.15116243915711824,0.42325482963993105,0.1813949269885419,0.030232487831423648,1.9953441968739607,0.27209239048281286,0.695347220122744,0.15116243915711824,11907,2217,14541,28665,67.509145327569,235.7227076216102,52.99755116848565,47.40454091967228,359.9782326087614,67.02542552226623,439.6106055567313,866.6142636877588,376.3944735012244,144.3298969072165
300,91942,San Diego,CA,2016,39795,19212,48.3,20583,51.7,26734,13488,64.5,16700,55753,38792,34673,89.4,4119,5.891948051948052,28.531948051948053,N,44.0,9E,Retirement Communities,8.0,Middle Ground,2294.0,10596.0,2217.0,2587.0,19291,7224,18162,23,94,27,13,94,9,17,5,3,107,2,29,9,432,10.855635130041463,0.5779620555346149,2.362105792184948,0.6784771956275915,0.3266742053021736,2.362105792184948,0.22615906520919715,0.4271893453951502,0.12564392511622063,0.07538635506973237,2.6887799974871216,0.05025757004648825,0.7287347656740797,0.22615906520919715,67638,8105,57444,133187,57.64543284332203,266.26460610629476,55.71051639653223,65.00816685513256,1699.6607614021862,203.66880261339364,1443.4979268752354,3346.827490890815,484.75939188340243,181.53034300791558
301,91945,San Diego,CA,2016,26673,13318,49.9,13355,50.1,17610,8334,63.3,8538,59025,26467,22557,85.2,3910,7.179575727676369,40.031573754316724,N,28.0,7B,Urban Villages,7.0,Ethnic Enclaves,1427.0,9468.0,1511.0,1927.0,12959,4367,12657,16,42,13,15,57,5,11,9,1,41,2,16,4,232,8.697934240617853,0.5998575338357139,1.5746260263187493,0.4873842462415176,0.5623664379709818,2.1369924642897313,0.18745547932366063,0.41240205451205336,0.3374198627825891,0.03749109586473212,1.5371349304540172,0.07498219172946424,0.5998575338357139,0.14996438345892849,1696,546,1698,3940,53.499793798972746,354.9656956472837,56.64904585161024,72.24534173133881,63.58489858658568,20.470138342143738,63.65988077831515,147.71491770704458,485.8471113110636,163.72361564128522
302,91950,San Diego,CA,2016,62078,31109,50.1,30969,49.9,42743,19131,64.8,16204,41867,57899,44702,77.2,13197,7.803204601479048,47.476581758422356,N,60.0,13A,International Marketplace,13.0,Next Wave,2628.0,21891.0,3039.0,4200.0,16004,7014,15460,10,103,20,26,109,14,17,14,1,83,11,42,7,457,7.361706240536099,0.16108766390669804,1.6592029382389897,0.3221753278133961,0.4188279261574148,1.7558555365830084,0.22552272946937724,0.2738490286413866,0.22552272946937724,0.016108766390669806,1.3370276104255936,0.1771964302973678,0.6765681884081317,0.11276136473468862,13533,1482,14982,29997,42.33383807468024,352.6370050581527,48.95454106124553,67.65681884081317,217.99993556493445,23.873191790972648,241.341538065015,483.2146654209221,257.80469731627954,112.986887464158
303,91962,San Diego,CA,2016,2190,1107,50.5,1083,49.5,1417,695,67.5,751,100302,2190,1994,91.1,196,5.654107473749227,23.13588634959852,N,16.0,5A,Comfortable Empty Nesters,5.0,GenXurban,155.0,388.0,87.0,105.0,1092,360,1040,0,4,1,1,2,2,2,0,0,3,0,0,0,15,6.8493150684931505,0.0,1.82648401826484,0.45662100456621,0.45662100456621,0.91324200913242,0.91324200913242,0.91324200913242,0.0,0.0,1.36986301369863,0.0,0.0,0.0,48,0,26,74,70.77625570776256,177.1689497716895,39.726027397260275,47.94520547945205,21.91780821917808,0.0,11.872146118721462,33.789954337899545,498.63013698630135,164.3835616438356
304,91963,San Diego,CA,2016,988,536,54.3,452,45.7,540,164,61.0,321,42563,988,857,86.7,131,9.980689655172414,83.62344827586206,N,50.0,10E,Rural Bypasses,10.0,Rustic Outposts,64.0,399.0,84.0,99.0,347,155,336,1,1,0,0,1,0,0,0,0,1,0,0,0,4,4.048582995951417,1.0121457489878543,1.0121457489878543,0.0,0.0,1.0121457489878543,0.0,0.0,0.0,0.0,1.0121457489878543,0.0,0.0,0.0,0,0,0,0,64.77732793522267,403.84615384615387,85.02024291497976,100.20242914979757,0.0,0.0,0.0,0.0,351.21457489878543,156.8825910931174
305,91977,San Diego,CA,2016,62065,30711,49.5,31354,50.5,40987,18361,63.8,18648,58937,61115,51875,84.9,9240,6.34107905982906,30.30635683760684,N,28.0,7B,Urban Villages,7.0,Ethnic Enclaves,3050.0,19622.0,3310.0,3666.0,22695,8773,21999,17,118,20,21,138,10,31,11,1,86,8,26,11,498,8.02384596793684,0.2739063884637074,1.9012325787480866,0.3222428099573028,0.338354950455168,2.2234753887053893,0.1611214049786514,0.4994763554338194,0.17723354547651654,0.01611214049786514,1.385644082816402,0.1288971239829211,0.4189156529444937,0.17723354547651654,738,123,3084,3945,49.14202851848868,316.15242084910983,53.331185047933616,59.06710706517361,11.890759687424474,1.9817932812374122,49.689841295416095,63.56239426407797,365.6650285990494,141.35180858777088
