GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US90723,90723,ZCTA5 90723,54941,39
8600000US90731,90731,ZCTA5 90731,61046,1813
8600000US90732,90732,ZCTA5 90732,21763,1131
8600000US90740,90740,ZCTA5 90740,24296,144
8600000US90742,90742,ZCTA5 90742,627,125
8600000US90743,90743,ZCTA5 90743,368,105
8600000US90744,90744,ZCTA5 90744,57432,1335
8600000US90745,90745,ZCTA5 90745,57785,950
8600000US90746,90746,ZCTA5 90746,26584,899
8600000US90747,90747,ZCTA5 90747,0,12
8600000US90755,90755,ZCTA5 90755,11491,111
8600000US90802,90802,ZCTA5 90802,39873,1382
8600000US90803,90803,ZCTA5 90803,31680,914
8600000US90804,90804,ZCTA5 90804,40751,1084
8600000US90805,90805,ZCTA5 90805,95808,1985
8600000US90806,90806,ZCTA5 90806,42312,1238
8600000US90807,90807,ZCTA5 90807,33217,1360
8600000US90808,90808,ZCTA5 90808,38637,823
8600000US90810,90810,ZCTA5 90810,37422,1092
8600000US90813,90813,ZCTA5 90813,60997,1488
8600000US90814,90814,ZCTA5 90814,18760,921
8600000US90815,90815,ZCTA5 90815,39822,747
8600000US90822,90822,ZCTA5 90822,148,108
8600000US90831,90831,ZCTA5 90831,0,12
8600000US91001,91001,ZCTA5 91001,37699,1067
8600000US91006,91006,ZCTA5 91006,32106,997
8600000US91007,91007,ZCTA5 91007,34619,803
8600000US91008,91008,ZCTA5 91008,1203,155
8600000US91010,91010,ZCTA5 91010,26000,640
8600000US91011,91011,ZCTA5 91011,20679,165
8600000US91016,91016,ZCTA5 91016,41901,750
8600000US91020,91020,ZCTA5 91020,8448,712
8600000US91024,91024,ZCTA5 91024,11067,28
8600000US91030,91030,ZCTA5 91030,25905,57
8600000US91040,91040,ZCTA5 91040,19587,1021
8600000US91042,91042,ZCTA5 91042,27164,1107
8600000US91046,91046,ZCTA5 91046,125,53
8600000US91101,91101,ZCTA5 91101,20761,931
8600000US91103,91103,ZCTA5 91103,28124,1073
8600000US91104,91104,ZCTA5 91104,38725,1141
8600000US91105,91105,ZCTA5 91105,11728,685
8600000US91106,91106,ZCTA5 91106,24875,934
8600000US91107,91107,ZCTA5 91107,32027,990
8600000US91108,91108,ZCTA5 91108,13675,310
8600000US91201,91201,ZCTA5 91201,23510,778
8600000US91202,91202,ZCTA5 91202,23219,750
8600000US91203,91203,ZCTA5 91203,14051,731
8600000US91204,91204,ZCTA5 91204,17681,816
8600000US91205,91205,ZCTA5 91205,37664,967
8600000US91206,91206,ZCTA5 91206,34247,1001
8600000US91207,91207,ZCTA5 91207,10071,633
8600000US91208,91208,ZCTA5 91208,17180,977
8600000US91210,91210,ZCTA5 91210,886,331
8600000US91214,91214,ZCTA5 91214,30935,1038
8600000US91301,91301,ZCTA5 91301,26007,656
8600000US91302,91302,ZCTA5 91302,25906,697
8600000US91303,91303,ZCTA5 91303,29668,1082
8600000US91304,91304,ZCTA5 91304,52846,1659
8600000US91306,91306,ZCTA5 91306,49043,1432
8600000US91307,91307,ZCTA5 91307,26703,980
8600000US91311,91311,ZCTA5 91311,38479,894
8600000US91316,91316,ZCTA5 91316,29485,1163
8600000US91320,91320,ZCTA5 91320,45502,1083
8600000US91321,91321,ZCTA5 91321,34664,1080
8600000US91324,91324,ZCTA5 91324,29689,1366
8600000US91325,91325,ZCTA5 91325,33558,1134
8600000US91326,91326,ZCTA5 91326,36168,1012
8600000US91330,91330,ZCTA5 91330,3328,293
8600000US91331,91331,ZCTA5 91331,101536,1999
8600000US91335,91335,ZCTA5 91335,80161,1767
8600000US91340,91340,ZCTA5 91340,35681,1047
8600000US91342,91342,ZCTA5 91342,95222,2211
8600000US91343,91343,ZCTA5 91343,64323,1545
8600000US91344,91344,ZCTA5 91344,53290,1576
8600000US91345,91345,ZCTA5 91345,18763,880
8600000US91350,91350,ZCTA5 91350,37400,965
8600000US91351,91351,ZCTA5 91351,33247,1176
8600000US91352,91352,ZCTA5 91352,47079,1405
8600000US91354,91354,ZCTA5 91354,30058,988
