xYear,State,County,Zip,Schedule_Group,rundatetime,RxCount,Population
2015,CA,Los Angeles,90405,2,01APR2018:11:21:17,8679,"27,186"
2015,CA,Los Angeles,90406,2,06MAY2016:01:08:29,26,
2015,CA,Los Angeles,90407,2,06MAY2016:01:08:29,42,
2015,CA,Los Angeles,90408,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90409,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90410,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90411,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90501,2,01APR2018:11:21:17,5748,"43,180"
2015,CA,Los Angeles,90502,2,01APR2018:11:21:17,9332,"18,010"
2015,CA,Los Angeles,90503,2,01APR2018:11:21:17,68985,"44,383"
2015,CA,Los Angeles,90504,2,01APR2018:11:21:17,1499,"32,102"
2015,CA,Los Angeles,90505,2,01APR2018:11:21:17,101898,"36,678"
2015,CA,Los Angeles,90506,2,01APR2018:11:21:17,29,0
2015,CA,Los Angeles,90507,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90508,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90509,2,06MAY2016:01:08:29,22813,
2015,CA,Los Angeles,90510,2,06MAY2016:01:08:29,12,
2015,CA,Los Angeles,90601,2,01APR2018:11:21:17,4078,"31,974"
2015,CA,Los Angeles,90602,2,01APR2018:11:21:17,41171,"25,777"
2015,CA,Los Angeles,90603,2,01APR2018:11:21:17,9067,"20,063"
2015,CA,Los Angeles,90604,2,01APR2018:11:21:17,784,"39,407"
2015,CA,Los Angeles,90605,2,01APR2018:11:21:17,9754,"40,331"
2015,CA,Los Angeles,90606,2,01APR2018:11:21:17,7941,"32,396"
2015,CA,Los Angeles,90607,2,06MAY2016:01:08:29,39,
2015,CA,Los Angeles,90608,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90609,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90610,2,06MAY2016:01:08:29,0,
2015,CA,Orange,90620,2,01APR2018:11:21:17,4626,"45,113"
2015,CA,Orange,90621,2,01APR2018:11:21:17,1781,"35,153"
2015,CA,Orange,90622,2,06MAY2016:01:08:29,0,
2015,CA,Orange,90623,2,01APR2018:11:21:17,24790,"15,554"
2015,CA,Orange,90624,2,06MAY2016:01:08:29,0,
2015,CA,Orange,90630,2,01APR2018:11:21:17,8204,"47,993"
2015,CA,Orange,90631,2,01APR2018:11:21:17,10694,"67,619"
2015,CA,Orange,90632,2,06MAY2016:01:08:29,0,
2015,CA,Orange,90633,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90637,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90638,2,01APR2018:11:21:17,15122,"49,012"
2015,CA,Los Angeles,90639,2,06MAY2016:01:08:29,121,
2015,CA,Los Angeles,90640,2,01APR2018:11:21:17,18343,"62,549"
2015,CA,Los Angeles,90650,2,01APR2018:11:21:17,12675,"105,549"
2015,CA,Los Angeles,90651,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90652,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90660,2,01APR2018:11:21:17,11349,"62,928"
2015,CA,Los Angeles,90661,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90662,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90670,2,01APR2018:11:21:17,2851,"14,866"
2015,CA,Los Angeles,90671,2,06MAY2016:01:08:29,0,
2015,CA,Orange,90680,2,01APR2018:11:21:17,1271,"29,945"
2015,CA,Los Angeles,90701,2,01APR2018:11:21:17,2063,"16,591"
2015,CA,Los Angeles,90702,2,06MAY2016:01:08:29,31,
2015,CA,Los Angeles,90703,2,01APR2018:11:21:17,16086,"49,399"
2015,CA,Los Angeles,90704,2,01APR2018:11:21:17,290,"4,090"
2015,CA,Los Angeles,90706,2,01APR2018:11:21:17,16945,"76,615"
2015,CA,Los Angeles,90707,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90710,2,01APR2018:11:21:17,45775,"25,457"
2015,CA,Los Angeles,90711,2,06MAY2016:01:08:29,108,
2015,CA,Los Angeles,90712,2,01APR2018:11:21:17,28009,"31,499"
2015,CA,Los Angeles,90713,2,01APR2018:11:21:17,1547,"27,925"
2015,CA,Los Angeles,90714,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90715,2,01APR2018:11:21:17,1032,"20,388"
2015,CA,Los Angeles,90716,2,01APR2018:11:21:17,2452,"14,184"
2015,CA,Los Angeles,90717,2,01APR2018:11:21:17,5444,"21,318"
2015,CA,Orange,90720,2,01APR2018:11:21:17,41743,"21,751"
2015,CA,Orange,90721,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90723,2,01APR2018:11:21:17,7197,"54,099"
