,Zip,County,State,Year,Total Pop,Male Pop,Pct Male,Female Pop,Pct Female,Total Employable Pop,Full Time Employed Pop,Pct Full Time Employed,Total Households,Household Median Income,Insurable Pop,Insured Pop,Pct Insured,Uninsured Pop,ADI State Rank,ADI Natl Rank,CA DOI Underserved Flag,Tapestry Seg Nr,Tapestry Seg Code,Tapestry Seg Name,Lifemode Code,Lifemode Group,AS Only,ED Only,Inpatient,Inpatient from ED,Opioid Rx Count,Pop w Opioid Rx,Tot Opioid Rx Fills,C2,C3,C4,C2-C4,"AS per 1,000","ED per 1,000","IP per 1,000","IP via ED per 1,000","C2 per 1,000","C3 per 1,000","C4 per 1,000","C2-C4 per 1,000","Opioid Rx per 1,000","Pop w Opioid Rx per 1,000"
877,94124,San Francisco,CA,2016,35446,17389,49.1,18057,50.9,23687,10649,61.9,10612,53322,35430,32174,90.8,3256,5.149421375085091,21.497957794417967,Y,33.0,8A,City Lights,8.0,Middle Ground,3141.0,18670.0,2190.0,2466.0,13865,4663,13506,1729,396,474,2599,88.61366585792473,526.7166958189923,61.78412232691982,69.57061445579191,48.77842351746318,11.171923489251256,13.372453873497715,73.32280088021216,391.15838176380976,131.55222027873384
878,94127,San Francisco,CA,2016,20664,10439,50.5,10225,49.5,12814,6661,64.1,7535,138381,20592,19810,96.2,782,1.027262180974478,1.85092807424594,N,6.0,2A,Urban Chic,2.0,Upscale Avenues,1572.0,3270.0,750.0,785.0,4299,1901,4083,3007,737,1101,4845,76.07433217189315,158.24622531939605,36.29500580720093,37.98877274487031,145.5187766163376,35.665892373209445,53.28106852497096,234.465737514518,208.04297328687574,91.9957413859853
879,94128,San Mateo,CA,2016,119,54,45.4,65,54.6,105,0,0.0,0,0,119,99,83.2,20,3.0,8.0,N,60.0,13A,International Marketplace,13.0,Next Wave,37.0,172.0,16.0,12.0,168,55,147,7,1,164,172,310.92436974789916,1445.3781512605042,134.45378151260505,100.84033613445378,58.8235294117647,8.403361344537815,1378.1512605042017,1445.3781512605042,1411.764705882353,462.18487394957987
880,94129,San Francisco,CA,2016,3762,1914,50.9,1848,49.1,2688,1885,78.3,1285,174564,3762,3688,98.0,74,1.0,1.0,N,10.0,3A,Laptops and Lattes,3.0,Uptown Individuals,184.0,521.0,133.0,42.0,742,318,719,495,2,214,709,48.91015417331207,138.49016480595427,35.35353535353535,11.164274322169058,131.57894736842104,0.531632110579479,56.88463583200425,188.46358320042532,197.23551302498672,84.52950558213716
881,94130,San Francisco,CA,2016,3090,1737,56.2,1353,43.8,2726,675,38.1,602,49271,3090,2626,85.0,464,9.604651162790695,91.0594315245478,N,12.0,3C,Trendsetters,3.0,Uptown Individuals,120.0,1353.0,96.0,117.0,1054,334,998,23,2,2,27,38.83495145631068,437.86407766990294,31.067961165048544,37.86407766990291,7.44336569579288,0.6472491909385113,0.6472491909385113,8.737864077669903,341.1003236245955,108.0906148867314
882,94131,San Francisco,CA,2016,28350,15517,54.7,12833,45.3,20407,11684,68.9,13088,111083,27886,26380,94.6,1506,2.088760981520751,4.578006664647076,N,10.0,3A,Laptops and Lattes,3.0,Uptown Individuals,2126.0,4576.0,1313.0,883.0,6200,2728,5935,977,208,1539,2724,74.99118165784832,161.41093474426808,46.313932980599645,31.146384479717813,34.4620811287478,7.336860670194003,54.285714285714285,96.08465608465607,218.69488536155202,96.22574955908289
883,94132,San Francisco,CA,2016,31289,14943,47.8,16346,52.2,23136,7985,48.8,10388,68711,31211,28705,92.0,2506,4.833891493636973,36.701607501674474,N,8.0,2C,Pacific Heights,2.0,Upscale Avenues,1758.0,5733.0,908.0,1018.0,5137,2305,4880,3702,845,4638,9185,56.18588002173288,183.22733228930295,29.019783310428586,32.535395826009136,118.3163412061747,27.006296142414268,148.23100770238742,293.55364505097634,164.17910447761193,73.66806225830163
884,94134,San Francisco,CA,2016,41677,20390,48.9,21287,51.1,28001,13057,62.1,11927,66925,41610,37805,90.9,3805,3.7115749525616697,12.8,N,8.0,2C,Pacific Heights,2.0,Upscale Avenues,3180.0,12208.0,1987.0,2118.0,8511,3567,8170,2244,274,989,3507,76.30107733282146,292.9193559997121,47.676176308275544,50.81939678959618,53.84264702353816,6.5743695563500255,23.73011493149699,84.14713151138517,204.2133550879382,85.58677447992898
885,94158,San Francisco,CA,2016,5995,3318,55.3,2677,44.7,5281,3163,72.1,3296,102237,5995,5755,96.0,240,2.9307086614173232,6.815748031496062,N,10.0,3A,Laptops and Lattes,3.0,Uptown Individuals,462.0,1205.0,409.0,159.0,1018,523,985,10461,1042,8874,20377,77.06422018348624,201.00083402835696,68.22351959966639,26.52210175145955,1744.954128440367,173.81150959132611,1480.23352793995,3398.999165971643,169.80817347789826,87.23936613844872
886,94301,Santa Clara,CA,2016,17409,8459,48.6,8950,51.4,10809,5661,65.2,7265,135427,17192,16737,97.4,455,1.0,1.3623743417903302,N,1.0,1A,Top Tier,1.0,Affluent Estates,1658.0,2018.0,625.0,517.0,3648,1715,3401,29190,4537,35264,68991,95.23809523809523,115.9170543971509,35.900970762249415,29.69728301453271,1676.7189384800965,260.61232695732093,2025.6189327359411,3962.950198173359,209.54678614509737,98.51226377161238
