xYear,State,County,Zip,Pph_Frq,rundatetime,Count_Opioid_Pph,Count_Schedule2_Pph,Population
2015,CA,Los Angeles,90277,1-7 Rx/Yr.,01APR2018:11:21:17,36,30,"35,293"
2015,CA,Los Angeles,90278,1-7 Rx/Yr.,01APR2018:11:21:17,18,20,"40,071"
2015,CA,Los Angeles,90280,1-7 Rx/Yr.,01APR2018:11:21:17,30,29,"94,396"
2015,CA,Los Angeles,90290,1-7 Rx/Yr.,01APR2018:11:21:17,3,2,"6,368"
2015,CA,Los Angeles,90291,1-7 Rx/Yr.,01APR2018:11:21:17,12,15,"28,341"
2015,CA,Los Angeles,90292,1-7 Rx/Yr.,01APR2018:11:21:17,34,32,"21,576"
2015,CA,Los Angeles,90293,1-7 Rx/Yr.,01APR2018:11:21:17,12,9,"12,132"
2015,CA,Los Angeles,90294,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90295,1-7 Rx/Yr.,06MAY2016:00:46:51,0,1,
2015,CA,Los Angeles,90296,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90301,1-7 Rx/Yr.,01APR2018:11:21:17,38,52,"36,568"
2015,CA,Los Angeles,90302,1-7 Rx/Yr.,01APR2018:11:21:17,4,3,"29,415"
2015,CA,Los Angeles,90303,1-7 Rx/Yr.,01APR2018:11:21:17,3,4,"26,176"
2015,CA,Los Angeles,90304,1-7 Rx/Yr.,01APR2018:11:21:17,4,5,"28,210"
2015,CA,Los Angeles,90305,1-7 Rx/Yr.,01APR2018:11:21:17,4,4,"14,853"
2015,CA,Los Angeles,90306,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90307,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90308,1-7 Rx/Yr.,06MAY2016:00:46:51,1,1,
2015,CA,Los Angeles,90309,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90310,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90311,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90312,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90401,1-7 Rx/Yr.,01APR2018:11:21:17,28,23,"6,722"
2015,CA,Los Angeles,90402,1-7 Rx/Yr.,01APR2018:11:21:17,16,9,"12,250"
2015,CA,Los Angeles,90403,1-7 Rx/Yr.,01APR2018:11:21:17,56,47,"24,525"
2015,CA,Los Angeles,90404,1-7 Rx/Yr.,01APR2018:11:21:17,174,165,"21,360"
2015,CA,Los Angeles,90405,1-7 Rx/Yr.,01APR2018:11:21:17,13,17,"27,186"
2015,CA,Los Angeles,90406,1-7 Rx/Yr.,06MAY2016:00:46:51,1,1,
2015,CA,Los Angeles,90407,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90408,1-7 Rx/Yr.,06MAY2016:00:46:51,1,0,
2015,CA,Los Angeles,90409,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90410,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90411,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90501,1-7 Rx/Yr.,01APR2018:11:21:17,26,24,"43,180"
2015,CA,Los Angeles,90502,1-7 Rx/Yr.,01APR2018:11:21:17,49,35,"18,010"
2015,CA,Los Angeles,90503,1-7 Rx/Yr.,01APR2018:11:21:17,89,76,"44,383"
2015,CA,Los Angeles,90504,1-7 Rx/Yr.,01APR2018:11:21:17,17,10,"32,102"
2015,CA,Los Angeles,90505,1-7 Rx/Yr.,01APR2018:11:21:17,178,159,"36,678"
2015,CA,Los Angeles,90506,1-7 Rx/Yr.,01APR2018:11:21:17,1,1,0
2015,CA,Los Angeles,90507,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90508,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90509,1-7 Rx/Yr.,06MAY2016:00:46:51,139,114,
2015,CA,Los Angeles,90510,1-7 Rx/Yr.,06MAY2016:00:46:51,1,0,
2015,CA,Los Angeles,90601,1-7 Rx/Yr.,01APR2018:11:21:17,15,14,"31,974"
2015,CA,Los Angeles,90602,1-7 Rx/Yr.,01APR2018:11:21:17,44,44,"25,777"
2015,CA,Los Angeles,90603,1-7 Rx/Yr.,01APR2018:11:21:17,16,13,"20,063"
2015,CA,Los Angeles,90604,1-7 Rx/Yr.,01APR2018:11:21:17,5,3,"39,407"
2015,CA,Los Angeles,90605,1-7 Rx/Yr.,01APR2018:11:21:17,20,12,"40,331"
2015,CA,Los Angeles,90606,1-7 Rx/Yr.,01APR2018:11:21:17,13,19,"32,396"
2015,CA,Los Angeles,90607,1-7 Rx/Yr.,06MAY2016:00:46:51,1,0,
2015,CA,Los Angeles,90608,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90609,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90610,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Orange,90620,1-7 Rx/Yr.,01APR2018:11:21:17,18,22,"45,113"
2015,CA,Orange,90621,1-7 Rx/Yr.,01APR2018:11:21:17,12,13,"35,153"
2015,CA,Orange,90622,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Orange,90623,1-7 Rx/Yr.,01APR2018:11:21:17,24,24,"15,554"
2015,CA,Orange,90624,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Orange,90630,1-7 Rx/Yr.,01APR2018:11:21:17,16,23,"47,993"
2015,CA,Orange,90631,1-7 Rx/Yr.,01APR2018:11:21:17,43,32,"67,619"
2015,CA,Orange,90632,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Orange,90633,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90637,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90638,1-7 Rx/Yr.,01APR2018:11:21:17,19,15,"49,012"
2015,CA,Los Angeles,90639,1-7 Rx/Yr.,06MAY2016:00:46:51,1,1,
2015,CA,Los Angeles,90640,1-7 Rx/Yr.,01APR2018:11:21:17,40,52,"62,549"
2015,CA,Los Angeles,90650,1-7 Rx/Yr.,01APR2018:11:21:17,33,36,"105,549"
2015,CA,Los Angeles,90651,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90652,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90660,1-7 Rx/Yr.,01APR2018:11:21:17,19,16,"62,928"
2015,CA,Los Angeles,90661,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90662,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90670,1-7 Rx/Yr.,01APR2018:11:21:17,10,13,"14,866"
2015,CA,Los Angeles,90671,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Orange,90680,1-7 Rx/Yr.,01APR2018:11:21:17,7,7,"29,945"
2015,CA,Los Angeles,90701,1-7 Rx/Yr.,01APR2018:11:21:17,16,12,"16,591"
2015,CA,Los Angeles,90702,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90703,1-7 Rx/Yr.,01APR2018:11:21:17,50,44,"49,399"
2015,CA,Los Angeles,90704,1-7 Rx/Yr.,01APR2018:11:21:17,1,0,"4,090"
