xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population
2016,CA,Los Angeles,90247,01APR2018:11:21:17,11608,5576,17877,5057,342293,1143009,636624,11171,57,380,185786,2145,114,20986,358,58.6,275519,4172,66,44,44,2,264,1080,5520,21,181,3,"47,487"
2016,CA,Los Angeles,90248,01APR2018:11:21:17,2329,4767,5810,1024,289909,308429,132636,2268,58.5,314,133516,4548,29,23220,488,47.6,472435,8730,54.1,44,13,1,56,1604,35,15,174,4,"9,947"
2016,CA,Los Angeles,90249,01APR2018:11:21:17,7781,3254,7049,3081,155137,358207,467299,7496,62.3,99,57073,1226,78,10074,172,58.6,131394,2517,52.2,25,11,0,204,597,163,16,79,5,"26,669"
2016,CA,Los Angeles,90250,01APR2018:11:21:17,21432,9229,17403,9802,468301,1178297,1172899,20697,56.7,592,300024,3918,219,31036,616,50.4,410515,7773,52.8,90,44,3,533,6812,48596,35,303,3,"93,193"
2016,CA,Los Angeles,90251,10SEP2017:10:31:20,164,0,0,71,0,0,8134,164,49.6,0,,0,5,0,0,,0,0,,0,0,0,6,0,0,0,0,0,
2016,CA,Los Angeles,90254,01APR2018:11:21:17,4449,5313,2966,2183,209464,142414,236461,4216,56.1,296,170095,3062,80,20054,410,48.9,248210,6315,39.3,60,12,1,130,5164,3061,17,233,9,"19,506"
2016,CA,Los Angeles,90255,01APR2018:11:21:17,7885,5816,5915,4536,253379,295603,365551,7639,47.9,435,167625,1977,111,16022,337,47.5,190398,4063,46.9,65,27,1,252,2998,5025,32,134,3,"75,066"
2016,CA,Los Angeles,90260,01APR2018:11:21:17,7989,6646,5584,3528,346777,340742,435630,7788,55.9,405,239020,2222,115,39689,775,51.2,243628,4259,57.2,33,8,3,198,756,2436,16,236,3,"34,924"
2016,CA,Los Angeles,90261,10SEP2017:10:31:20,13,0,0,8,0,0,1385,12,115.4,0,,0,0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
2016,CA,Los Angeles,90262,01APR2018:11:21:17,10867,10007,7399,5364,397638,410146,496051,10385,47.8,615,293470,4265,110,29146,667,43.7,353316,8462,41.8,107,30,2,285,1037,12227,40,335,4,"69,745"
