xYear,State,County,Age_Group,rundatetime,PatCount_Opioid,Population,,
2015,CA,San Mateo,25-44 yrs,01APR2018:11:21:17,30993,"690,399",,
2015,CA,Santa Barbara,25-44 yrs,01APR2018:11:21:17,22443,"424,106",,
2015,CA,Santa Clara,25-44 yrs,01APR2018:11:21:17,84197,"1,805,212",,
2015,CA,Santa Cruz,25-44 yrs,01APR2018:11:21:17,15217,"280,225",,
2015,CA,Shasta,25-44 yrs,01APR2018:11:21:17,14439,"184,231",,
2015,CA,Sierra,25-44 yrs,01APR2018:11:21:17,112,"2,910",,
2015,CA,Siskiyou,25-44 yrs,01APR2018:11:21:17,2905,"46,055",,
2015,CA,Solano,25-44 yrs,01APR2018:11:21:17,27828,"412,119",,
2015,CA,Sonoma,25-44 yrs,01APR2018:11:21:17,28645,"484,213",,
2015,CA,Stanislaus,25-44 yrs,01APR2018:11:21:17,42476,"518,345",,
2015,CA,Sutter,25-44 yrs,01APR2018:11:21:17,7196,"93,812",,
2015,CA,Tehama,25-44 yrs,01APR2018:11:21:17,4459,"54,639",,
2015,CA,Trinity,25-44 yrs,01APR2018:11:21:17,802,"13,701",,
2015,CA,Tulare,25-44 yrs,01APR2018:11:21:17,30006,"438,352",,
2015,CA,Tuolumne,25-44 yrs,01APR2018:11:21:17,3701,"54,242",,
2015,CA,Ventura,25-44 yrs,01APR2018:11:21:17,44660,"827,963",,
2015,CA,Yolo,25-44 yrs,01APR2018:11:21:17,10920,"202,753",,
2015,CA,Yuba,25-44 yrs,01APR2018:11:21:17,6607,"71,319",,
2015,CA,Alameda,45-64 yrs,01APR2018:11:21:17,99805,"1,515,717",,
2015,CA,Alpine,45-64 yrs,01APR2018:11:21:17,43,"1,115",,
2015,CA,Amador,45-64 yrs,01APR2018:11:21:17,4256,"38,211",,
2015,CA,Butte,45-64 yrs,01APR2018:11:21:17,25029,"220,287",,
2015,CA,Calaveras,45-64 yrs,01APR2018:11:21:17,5438,"45,570",,
